user_id,age,nationality,travel_style,budget_level,past_trips
0,56,Korean,family,luxury,6
1,69,Indian,family,premium,5
2,46,Mexican,adventure,moderate,4
3,32,Japanese,relaxation,moderate,5
4,60,Chinese,relaxation,moderate,4
5,25,Korean,relaxation,luxury,5
6,38,Indian,luxury,premium,6
7,56,German,cultural,budget,1
8,36,Spanish,luxury,luxury,3
9,40,Canadian,cultural,premium,2
10,28,German,relaxation,premium,5
11,28,Japanese,relaxation,budget,4
12,41,Chinese,luxury,budget,7
13,53,Brazilian,luxury,budget,7
14,57,Korean,cultural,moderate,2
15,41,Thai,family,budget,6
16,20,Spanish,cultural,premium,7
17,39,Japanese,luxury,budget,2
18,19,Mexican,luxury,premium,7
19,41,American,adventure,luxury,5
20,61,Thai,luxury,moderate,7
21,47,Thai,adventure,luxury,6
22,55,Thai,family,luxury,5
23,19,French,cultural,premium,6
24,38,Japanese,cultural,luxury,5
25,50,Spanish,adventure,premium,4
26,29,Canadian,cultural,budget,7
27,39,Canadian,luxury,budget,1
28,61,Japanese,relaxation,premium,8
29,42,Indian,adventure,budget,4
30,66,French,cultural,moderate,5
31,44,American,adventure,luxury,3
32,59,Thai,adventure,moderate,7
33,45,Thai,relaxation,luxury,2
34,33,Japanese,luxury,budget,5
35,32,Indian,adventure,moderate,10
36,64,Canadian,cultural,budget,7
37,68,Canadian,family,luxury,7
38,61,Chinese,adventure,premium,10
39,69,Japanese,adventure,premium,1
40,20,French,relaxation,moderate,5
41,54,British,luxury,budget,3
42,68,French,family,budget,8
43,24,Mexican,cultural,moderate,7
44,38,Canadian,family,premium,3
45,26,Canadian,cultural,luxury,1
46,56,German,luxury,moderate,5
47,35,Canadian,cultural,luxury,3
48,21,American,relaxation,premium,6
49,42,Australian,relaxation,budget,3
50,31,Japanese,relaxation,premium,4
51,67,Korean,relaxation,moderate,5
52,26,French,family,budget,8
53,43,Australian,luxury,moderate,7
54,19,Indian,cultural,moderate,5
55,37,British,cultural,premium,4
56,45,American,relaxation,moderate,6
57,64,Spanish,relaxation,premium,8
58,24,Italian,adventure,budget,4
59,61,French,luxury,premium,3
60,25,Australian,family,budget,2
61,64,Spanish,cultural,premium,3
62,52,British,adventure,luxury,9
63,31,German,adventure,luxury,5
64,34,Spanish,cultural,moderate,4
65,53,American,family,premium,7
66,67,American,adventure,premium,8
67,57,Korean,adventure,budget,4
68,21,German,luxury,moderate,4
69,19,Italian,family,premium,8
70,23,Japanese,adventure,moderate,5
71,59,Spanish,family,luxury,5
72,21,German,cultural,premium,6
73,46,American,relaxation,premium,7
74,35,American,adventure,moderate,2
75,43,Australian,luxury,premium,1
76,61,Canadian,cultural,moderate,7
77,51,Italian,family,premium,5
78,27,Spanish,cultural,budget,4
79,53,Korean,adventure,moderate,4
80,31,Korean,family,premium,3
81,48,Spanish,relaxation,luxury,8
82,65,Mexican,cultural,premium,7
83,32,Thai,adventure,luxury,1
84,25,British,luxury,luxury,2
85,31,Korean,family,budget,4
86,40,German,cultural,moderate,6
87,57,British,cultural,premium,4
88,38,German,relaxation,budget,6
89,33,Indian,relaxation,premium,8
90,62,American,luxury,luxury,7
91,35,Canadian,luxury,moderate,5
92,64,Australian,adventure,premium,2
93,41,Korean,adventure,premium,1
94,43,Canadian,luxury,luxury,7
95,42,Canadian,luxury,premium,4
96,62,Canadian,family,premium,1
97,58,Thai,relaxation,luxury,6
98,46,British,adventure,budget,5
99,32,German,relaxation,luxury,8
100,62,Brazilian,relaxation,budget,5
101,18,Indian,luxury,moderate,4
102,42,French,family,budget,10
103,24,Canadian,cultural,budget,7
104,26,Japanese,family,moderate,4
105,41,British,family,budget,8
106,18,Korean,relaxation,luxury,5
107,61,Italian,family,budget,5
108,25,Korean,adventure,moderate,5
109,41,Australian,relaxation,luxury,2
110,28,French,adventure,moderate,3
111,68,Brazilian,cultural,moderate,4
112,34,Japanese,relaxation,premium,9
113,25,Korean,cultural,premium,0
114,52,Brazilian,relaxation,moderate,5
115,52,French,luxury,moderate,5
116,50,Canadian,family,moderate,5
117,22,Japanese,luxury,premium,5
118,59,Brazilian,cultural,premium,4
119,56,Australian,family,budget,9
120,58,German,relaxation,budget,6
121,45,American,family,moderate,2
122,24,German,adventure,luxury,6
123,26,French,family,luxury,6
124,25,British,adventure,premium,6
125,29,American,family,premium,5
126,51,Indian,adventure,premium,2
127,50,Australian,cultural,moderate,5
128,65,Indian,luxury,luxury,3
129,40,Thai,relaxation,budget,3
130,41,Japanese,family,moderate,3
131,54,Spanish,luxury,budget,6
132,52,American,relaxation,budget,6
133,61,Indian,relaxation,moderate,4
134,57,Korean,adventure,budget,5
135,39,Indian,cultural,luxury,5
136,44,Brazilian,cultural,budget,7
137,52,German,luxury,luxury,5
138,18,Brazilian,cultural,luxury,3
139,52,Thai,family,luxury,4
140,54,American,cultural,premium,7
141,64,American,luxury,budget,5
142,31,Thai,cultural,moderate,7
143,20,French,family,moderate,8
144,18,Brazilian,adventure,budget,7
145,22,Chinese,luxury,premium,5
146,43,Korean,adventure,premium,8
147,31,Italian,adventure,luxury,4
148,56,German,adventure,budget,6
149,44,American,relaxation,budget,8
150,26,French,relaxation,moderate,6
151,32,Spanish,adventure,budget,3
152,32,Korean,luxury,premium,8
153,43,Brazilian,family,budget,4
154,59,German,family,moderate,7
