dest_id,name,country,category,avg_cost,popularity_score,climate,best_season
0,Udaipur,Italy,city,3057.35,0.624,tropical,autumn
1,Amsterdam,Iceland,city,646.63,0.319,mediterranean,autumn
2,Yellowstone,Thailand,mountain,3172.0,0.535,arid,spring
3,Black Forest,USA,mountain,1089.6,0.118,cold,winter
4,Tulum,Italy,nature,2393.25,0.301,arid,autumn
5,Normandy,France,beach,3137.57,0.484,temperate,autumn
6,Whitehorse,Portugal,island,4660.34,0.641,cold,summer
7,Istanbul,Spain,historical,3480.11,0.467,tropical,spring
8,Hobbiton,Brazil,nature,500.51,0.971,cold,winter
9,Nara,Morocco,historical,3547.51,0.514,mediterranean,winter
10,Yosemite,Switzerland,beach,3966.98,0.66,cold,spring
11,Hanoi,Peru,island,3921.48,0.298,arid,summer
12,San Marino,Iceland,island,4933.54,0.904,tropical,spring
13,Andalusia,New Zealand,historical,1655.08,0.842,tropical,autumn
14,Pokhara,France,city,4508.54,0.232,arid,spring
15,Vienna,India,island,2446.49,0.705,tropical,winter
16,Barbados,Vietnam,nature,1989.43,0.116,temperate,autumn
17,Maldives Reef,India,desert,2907.09,0.349,tropical,summer
18,Madeira,Vietnam,nature,3941.51,0.42,cold,summer
19,Angkor Wat,Peru,desert,3742.07,0.212,mediterranean,summer
20,Paris,Iceland,historical,2850.99,0.392,arid,winter
21,Barcelona,Spain,desert,4992.15,0.238,temperate,autumn
22,Melbourne,Italy,beach,1266.66,0.709,cold,winter
23,Alaska,Morocco,city,2253.48,0.199,temperate,spring
24,Chiang Mai,Peru,nature,3408.67,0.117,tropical,summer
25,Tasmania,New Zealand,city,4650.24,0.203,arid,winter
26,Provence,Greece,nature,4302.57,0.188,temperate,winter
27,Munich,USA,nature,4429.34,0.695,arid,winter
28,Grand Canyon,Croatia,mountain,4398.03,0.436,mediterranean,summer
29,Dubrovnik,Spain,city,1990.52,0.134,mediterranean,summer
30,Cancun,New Zealand,beach,2703.49,0.292,tropical,winter
31,Banff,Peru,island,1487.49,0.141,cold,summer
32,Seville,New Zealand,historical,1764.36,0.909,temperate,spring
33,Azores,USA,island,2249.85,0.594,temperate,autumn
34,South Georgia,USA,mountain,1352.94,0.282,cold,winter
35,Rome,France,desert,2665.09,0.72,temperate,winter
36,Kerala Backwaters,Vietnam,beach,1702.47,0.537,cold,spring
37,Champagne,Japan,beach,1292.36,0.865,tropical,winter
38,Samoa,USA,desert,4784.87,0.165,temperate,autumn
39,Antarctica,Switzerland,historical,1192.81,0.479,temperate,autumn
40,Zhangjiajie,Mexico,desert,3940.83,0.402,temperate,spring
41,Lebanon,Spain,city,4193.12,0.987,tropical,summer
42,Dakar,France,desert,4360.18,0.394,arid,spring
43,Medellín,Mexico,beach,2805.11,0.959,mediterranean,autumn
44,Petra Caves,Turkey,mountain,4802.06,0.466,mediterranean,autumn
45,Canadian Rockies,Morocco,historical,4171.4,0.8,cold,spring
46,Trinidad,Brazil,historical,2635.61,0.795,arid,autumn
47,Zurich,Greece,island,4885.19,0.392,arid,winter
48,Jaipur,India,beach,4161.77,0.532,cold,autumn
49,Norwegian Fjords,Vietnam,island,3095.06,0.747,arid,spring
50,Kyoto,India,desert,4525.64,0.948,temperate,spring
51,Tongariro,USA,island,2587.89,0.918,temperate,winter
52,Dubrovnik,Vietnam,nature,3350.78,0.154,cold,winter
53,Golden Circle,Thailand,historical,2353.93,0.389,temperate,autumn
54,Nairobi,Vietnam,island,2284.36,0.752,temperate,autumn
55,Santorini,Italy,mountain,4271.32,0.15,arid,summer
56,Marrakech,Mexico,beach,1593.88,0.319,temperate,summer
57,Tahiti,India,beach,3865.95,0.548,arid,spring
58,Dolomites,Peru,desert,3680.11,0.686,temperate,autumn
59,Lijiang,Italy,historical,3368.51,0.109,mediterranean,spring
60,Easter Island,Italy,city,3159.68,0.559,temperate,spring
61,Lofoten Islands,Japan,beach,4245.83,0.605,arid,summer
62,Blue Lagoon,Japan,desert,4202.18,0.664,cold,spring
63,Singapore,India,island,3730.04,0.275,arid,summer
64,Canary Islands,New Zealand,desert,4861.88,0.287,cold,winter
65,Bahamas,Turkey,desert,4059.02,0.165,cold,summer
66,Yerevan,Spain,city,4837.28,0.818,temperate,summer
67,Darjeeling,Portugal,desert,1059.23,0.809,arid,autumn
68,Ha Long Bay,Morocco,city,3423.85,0.463,temperate,autumn
69,Bali,Italy,desert,3622.65,0.975,temperate,summer
70,Great Barrier Reef,Peru,city,924.95,0.39,mediterranean,summer
71,Andaman Islands,Portugal,nature,4264.2,0.915,arid,summer
72,Jamaica,Morocco,city,4944.01,0.995,tropical,spring
73,Cape Town,Australia,nature,3727.2,0.669,cold,autumn
74,Lake Como,Turkey,island,3853.8,0.938,tropical,autumn
75,Sicily,Japan,island,4827.82,0.637,tropical,spring
76,Curaçao,Brazil,island,717.15,0.206,mediterranean,spring
77,Dawson City,India,beach,3435.11,0.771,mediterranean,spring
78,Tenerife,Greece,historical,4211.42,0.985,mediterranean,spring
79,Ohrid,Turkey,historical,3977.89,0.807,temperate,spring
80,Great Wall Trek,India,city,600.72,0.764,tropical,spring
81,Borneo,Greece,mountain,2009.1,0.302,tropical,summer
82,Yogyakarta,Spain,nature,2899.87,0.943,temperate,spring
83,Hawaii,Turkey,beach,4939.72,0.79,temperate,winter
84,Dead Sea,India,historical,3668.88,0.842,arid,spring
85,St. Lucia,Thailand,nature,808.42,0.175,cold,spring
86,Split,Greece,desert,3233.38,0.166,cold,winter
87,Torres del Paine,Brazil,island,3294.87,0.988,cold,spring
88,Madagascar,Thailand,beach,2955.75,0.426,arid,spring
89,Bruges,Turkey,mountain,3918.26,0.732,mediterranean,winter
90,Siem Reap,New Zealand,desert,2451.43,0.32,mediterranean,autumn
91,Victoria Falls,Portugal,island,985.67,0.61,arid,spring
92,Ring Road,Turkey,desert,2229.72,0.373,mediterranean,autumn
93,Lisbon,India,mountain,3630.77,0.848,temperate,winter
94,Tuscany,Brazil,nature,4646.34,0.413,tropical,winter
95,Jerusalem,Iceland,historical,2858.67,0.713,cold,spring
96,Samarkand,India,historical,3888.49,0.548,mediterranean,summer
97,Sri Lanka,Turkey,desert,1840.68,0.277,arid,spring
98,Tbilisi,Greece,city,2324.62,0.225,arid,summer
99,Baku,Peru,mountain,3724.21,0.994,tropical,autumn
100,Falkland Islands,Iceland,mountain,4826.96,0.739,cold,summer
101,Dubai,Iceland,mountain,710.53,0.466,cold,spring
102,Oman,New Zealand,historical,4019.45,0.12,tropical,spring
103,Seoul,Brazil,nature,4446.71,0.288,mediterranean,summer
104,Jordan,USA,desert,2374.67,0.7,arid,autumn
105,Patagonia,Australia,island,611.65,0.445,cold,summer
106,Bangkok,New Zealand,mountain,4368.84,0.228,tropical,spring
107,Greenland,Greece,mountain,2168.62,0.339,arid,summer
108,Luang Prabang,Switzerland,historical,1478.82,0.322,cold,winter
109,Georgia,Australia,island,2304.9,0.413,temperate,autumn
110,Bordeaux,Italy,mountain,2830.72,0.822,mediterranean,spring
111,Goa,Peru,mountain,4931.78,0.105,tropical,autumn
112,Queenstown,Italy,beach,2469.9,0.361,tropical,summer
113,New York,Peru,historical,1019.64,0.885,temperate,spring
114,Amalfi Coast,Australia,city,2322.46,0.815,cold,winter
115,Cartagena,Iceland,historical,3829.82,0.115,arid,spring
116,Serengeti,USA,city,4445.56,0.637,arid,winter
117,Rishikesh,France,desert,4388.71,0.798,cold,winter
