user_id,dest_id,rating,visit_duration,season_visited,would_revisit
276,70,1.8,4,winter,1
419,44,3.0,14,spring,0
241,23,1.5,14,winter,0
173,16,1.8,9,winter,0
59,26,2.7,14,summer,0
387,110,2.8,12,winter,1
96,62,2.4,5,winter,1
84,61,4.9,12,summer,0
387,77,4.3,13,winter,0
239,10,2.1,8,spring,1
490,105,3.2,6,spring,0
120,191,3.3,10,autumn,0
151,184,2.7,7,summer,1
311,114,3.0,13,spring,1
406,32,2.4,14,spring,1
473,188,4.1,10,spring,0
195,51,4.9,10,winter,1
199,49,3.4,14,summer,0
67,83,2.9,14,spring,1
227,156,3.7,9,summer,0
486,40,4.1,12,autumn,0
109,138,3.1,13,winter,1
245,48,1.5,12,spring,0
100,149,1.0,5,autumn,0
57,20,1.6,10,autumn,1
257,135,5.0,12,winter,1
14,43,3.4,5,spring,0
120,170,4.6,12,autumn,0
359,55,3.0,14,autumn,0
420,76,4.6,8,winter,0
349,157,2.8,3,summer,0
213,172,3.1,10,summer,1
339,58,4.0,4,summer,0
96,17,2.8,10,winter,1
330,92,3.3,13,spring,1
420,61,4.0,10,spring,1
489,5,2.7,5,winter,1
287,3,2.7,8,autumn,1
402,36,3.5,9,summer,0
72,171,3.2,5,autumn,1
477,145,2.0,14,summer,0
189,153,3.2,9,winter,1
72,183,3.7,10,spring,1
330,63,2.5,9,spring,1
86,19,3.1,1,autumn,1
378,59,3.9,1,autumn,1
242,9,2.8,2,winter,1
144,100,3.9,6,autumn,1
499,164,2.9,10,spring,0
116,111,2.8,12,spring,0
328,88,4.2,14,winter,1
435,30,4.8,4,summer,1
50,59,2.9,4,autumn,1
18,68,4.0,4,summer,0
92,77,3.7,9,winter,1
285,185,1.5,2,summer,1
1,108,3.1,11,winter,0
63,180,3.2,11,winter,1
140,28,2.2,9,spring,1
386,65,2.8,7,winter,1
459,79,3.1,4,spring,1
429,41,2.4,2,autumn,1
66,74,4.1,7,winter,0
457,41,2.6,10,autumn,1
312,60,4.1,9,summer,1
305,35,2.6,5,spring,0
8,1,3.9,3,spring,1
233,117,3.4,11,autumn,1
164,171,1.3,13,spring,0
34,25,4.0,6,spring,0
10,12,4.8,9,autumn,1
379,47,1.7,10,autumn,0
116,89,3.2,13,autumn,1
454,67,1.8,5,autumn,0
119,161,3.9,7,winter,1
53,160,4.1,5,autumn,0
428,30,3.8,3,autumn,1
493,181,3.8,7,winter,0
21,189,3.8,4,spring,1
491,23,4.3,12,summer,0
438,72,3.8,13,spring,1
306,110,3.4,10,autumn,1
461,56,4.6,12,summer,1
315,73,3.1,6,autumn,1
373,190,4.8,7,winter,1
209,188,3.5,7,autumn,1
123,55,3.8,6,summer,0
235,117,1.0,14,autumn,1
255,172,5.0,6,autumn,1
399,143,3.2,3,summer,1
220,44,2.6,7,summer,0
104,76,4.2,2,winter,0
249,145,2.5,9,summer,1
445,40,3.8,5,winter,1
465,158,3.0,10,summer,1
40,15,3.9,4,winter,0
74,156,5.0,12,spring,0
352,41,2.6,11,winter,0
249,17,1.1,3,autumn,1
227,78,4.5,10,spring,1
62,14,1.8,12,autumn,0
101,90,2.1,2,autumn,0
25,188,3.2,13,spring,0
21,47,3.0,14,winter,0
384,25,2.4,2,summer,0
72,184,1.8,8,summer,1
42,164,3.8,5,winter,0
464,86,3.6,7,summer,1
132,79,2.2,4,winter,1
334,146,3.0,1,autumn,0
354,56,4.6,5,winter,0
255,139,1.3,13,spring,0
121,132,3.5,10,spring,1
31,119,2.3,5,winter,0
247,168,2.8,14,spring,1
422,166,3.5,8,spring,0
22,51,3.7,7,summer,1
141,71,2.3,5,autumn,1
222,37,2.9,9,winter,0
178,30,2.7,10,summer,0
197,75,4.3,8,summer,1
272,26,3.5,2,autumn,1
4,33,5.0,10,summer,0
482,13,2.2,2,summer,1
267,103,2.8,10,autumn,0
296,44,2.8,2,autumn,1
445,192,1.4,13,summer,1
347,189,3.0,12,winter,1
40,56,4.5,14,winter,1
164,173,3.8,1,spring,1
194,151,1.2,14,winter,1
484,27,2.9,3,winter,1
408,17,2.8,6,spring,1
210,77,3.2,1,summer,1
353,28,3.3,12,autumn,1
409,162,4.5,6,winter,0
234,134,2.6,3,autumn,1
426,77,1.8,12,spring,0
484,40,2.3,3,spring,1
374,4,2.9,11,spring,1
158,80,1.7,1,spring,1
188,150,2.5,11,autumn,0
334,4,4.2,5,winter,1
121,148,2.2,2,spring,1
99,152,2.9,7,autumn,0
147,178,4.0,1,autumn,1
75,130,4.6,5,summer,1
402,77,5.0,14,autumn,0
332,135,2.3,10,spring,1
167,149,2.7,8,winter,0
470,108,4.6,3,winter,1
389,81,3.7,7,spring,0
177,69,2.0,14,autumn,0
346,132,4.2,7,winter,1
493,11,2.4,13,summer,1
126,97,3.6,9,spring,0
29,58,4.7,5,spring,1
180,138,2.8,7,spring,1
198,54,4.1,12,autumn,1
474,81,2.4,11,winter,0
184,112,3.1,8,winter,1
312,168,3.6,1,autumn,0
0,43,4.6,10,spring,1
405,68,3.2,8,autumn,1
229,37,5.0,12,summer,0
327,91,4.1,2,winter,1
271,142,4.6,13,winter,1
315,49,3.5,2,summer,0
297,122,3.0,7,spring,0
411,71,3.9,9,autumn,0
177,103,3.7,1,spring,1
305,119,1.9,5,autumn,1
311,97,3.6,14,autumn,1
385,175,4.1,7,spring,1
420,27,3.8,11,autumn,0
475,55,2.7,11,autumn,1
112,21,1.0,10,autumn,1
498,54,3.6,4,spring,1
368,133,3.0,14,autumn,1
198,122,2.1,6,summer,1
89,55,2.5,3,spring,1
439,68,3.8,10,autumn,1
214,103,3.4,9,summer,0
455,154,3.6,13,summer,0
138,73,2.7,10,winter,1
180,103,2.7,2,summer,1
80,74,3.2,5,summer,1
53,108,2.9,2,spring,1
100,22,4.7,2,autumn,0
226,186,2.2,5,summer,1
260,9,2.4,14,spring,1
89,185,1.6,10,spring,1
215,172,4.5,6,summer,1
127,82,3.1,3,spring,0
138,116,3.3,6,spring,1
199,122,4.0,12,summer,0
99,20,2.2,2,summer,1
118,188,2.3,14,autumn,1
248,175,3.9,13,winter,1
128,90,1.8,7,summer,0
150,154,3.8,4,autumn,1
26,146,2.4,12,winter,0
417,106,2.5,14,spring,1
170,141,4.7,4,autumn,1
379,3,2.9,6,winter,0
70,72,1.5,13,autumn,1
255,18,2.4,5,autumn,0
31,75,3.9,13,summer,0
31,132,1.8,14,summer,1
371,100,4.7,10,winter,1
408,92,3.1,11,summer,1
200,152,3.3,11,winter,1
10,4,4.0,11,spring,1
373,92,2.1,2,winter,1
209,158,1.3,4,autumn,1
364,69,2.1,10,autumn,0
130,77,5.0,11,autumn,1
479,173,4.3,6,summer,1
357,85,2.7,1,winter,1
27,32,2.3,11,summer,1
148,90,4.2,8,winter,1
422,106,2.3,3,spring,0
104,1,4.7,13,autumn,1
